"filename", "language", "JSON", "TOML", "Rust", "Markdown", "comment", "blank", "total"
"c:\Users\26896\Desktop\repo_sync\new_repo\tiny-fs\README.md", "Markdown", 0, 0, 0, 199, 0, 84, 283
"c:\Users\26896\Desktop\repo_sync\new_repo\tiny-fs\tfs-test\Cargo.lock", "TOML", 0, 4, 0, 0, 2, 2, 8
"c:\Users\26896\Desktop\repo_sync\new_repo\tiny-fs\tfs-test\Cargo.toml", "TOML", 0, 5, 0, 0, 1, 3, 9
"c:\Users\26896\Desktop\repo_sync\new_repo\tiny-fs\tfs-test\src\main.rs", "Rust", 0, 0, 3, 0, 0, 1, 4
"c:\Users\26896\Desktop\repo_sync\new_repo\tiny-fs\tfs-test\target\.rustc_info.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"c:\Users\26896\Desktop\repo_sync\new_repo\tiny-fs\tfs-test\target\debug\.fingerprint\tfs-test-0e0152f3fab2dd26\bin-tfs-test.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"c:\Users\26896\Desktop\repo_sync\new_repo\tiny-fs\tfs-test\target\debug\.fingerprint\tfs-test-10e77788d8eec420\bin-tfs-test.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"c:\Users\26896\Desktop\repo_sync\new_repo\tiny-fs\tfs-test\target\debug\.fingerprint\tfs-test-20a308751dfaea9e\test-bin-tfs-test.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"c:\Users\26896\Desktop\repo_sync\new_repo\tiny-fs\tfs-test\target\debug\.fingerprint\tfs-test-a45a30887355dfbb\test-bin-tfs-test.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"c:\Users\26896\Desktop\repo_sync\new_repo\tiny-fs\tfs\Cargo.lock", "TOML", 0, 26, 0, 0, 2, 5, 33
"c:\Users\26896\Desktop\repo_sync\new_repo\tiny-fs\tfs\Cargo.toml", "TOML", 0, 10, 0, 0, 1, 3, 14
"c:\Users\26896\Desktop\repo_sync\new_repo\tiny-fs\tfs\src\bitmap.rs", "Rust", 0, 0, 62, 0, 12, 6, 80
"c:\Users\26896\Desktop\repo_sync\new_repo\tiny-fs\tfs\src\block_cache.rs", "Rust", 0, 0, 121, 0, 10, 19, 150
"c:\Users\26896\Desktop\repo_sync\new_repo\tiny-fs\tfs\src\block_dev.rs", "Rust", 0, 0, 5, 0, 3, 1, 9
"c:\Users\26896\Desktop\repo_sync\new_repo\tiny-fs\tfs\src\disk_manager.rs", "Rust", 0, 0, 0, 0, 0, 1, 1
"c:\Users\26896\Desktop\repo_sync\new_repo\tiny-fs\tfs\src\layout.rs", "Rust", 0, 0, 174, 0, 40, 19, 233
"c:\Users\26896\Desktop\repo_sync\new_repo\tiny-fs\tfs\src\lib.rs", "Rust", 0, 0, 12, 0, 2, 4, 18
"c:\Users\26896\Desktop\repo_sync\new_repo\tiny-fs\tfs\src\vfs.rs", "Rust", 0, 0, 0, 0, 0, 1, 1
"c:\Users\26896\Desktop\repo_sync\new_repo\tiny-fs\tfs\target\.rustc_info.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"c:\Users\26896\Desktop\repo_sync\new_repo\tiny-fs\tfs\target\debug\.fingerprint\lazy_static-ce2560039bfb2f0c\lib-lazy_static.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"c:\Users\26896\Desktop\repo_sync\new_repo\tiny-fs\tfs\target\debug\.fingerprint\spin-b3d97f5589c830c3\lib-spin.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"c:\Users\26896\Desktop\repo_sync\new_repo\tiny-fs\tfs\target\debug\.fingerprint\spin-ee2759a277fd8c13\lib-spin.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"c:\Users\26896\Desktop\repo_sync\new_repo\tiny-fs\tfs\target\debug\.fingerprint\tfs-1619fcdba348644e\test-lib-tfs.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"c:\Users\26896\Desktop\repo_sync\new_repo\tiny-fs\tfs\target\debug\.fingerprint\tfs-28b5044f1e64bfd9\test-lib-tfs.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"c:\Users\26896\Desktop\repo_sync\new_repo\tiny-fs\tfs\target\debug\.fingerprint\tfs-3d070fa476a70916\lib-tfs.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"c:\Users\26896\Desktop\repo_sync\new_repo\tiny-fs\tfs\target\debug\.fingerprint\tfs-3e8499823353e8e8\test-lib-tfs.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"c:\Users\26896\Desktop\repo_sync\new_repo\tiny-fs\tfs\target\debug\.fingerprint\tfs-51b84f7101ae008f\test-lib-tfs.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"c:\Users\26896\Desktop\repo_sync\new_repo\tiny-fs\tfs\target\debug\.fingerprint\tfs-65a8ba3a22a92b83\lib-tfs.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"c:\Users\26896\Desktop\repo_sync\new_repo\tiny-fs\tfs\target\debug\.fingerprint\tfs-6f5cb38abaa79ba0\lib-tfs.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"c:\Users\26896\Desktop\repo_sync\new_repo\tiny-fs\tfs\target\debug\.fingerprint\tfs-dbf744d25132fb55\lib-tfs.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"Total", "-", 17, 45, 377, 199, 73, 149, 860